hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,all-transactions,quarterly,MSA,"Austin-Round Rock-Georgetown, TX",12420,2023,2,528.42,
traditional,all-transactions,quarterly,MSA,"Bakersfield, CA",12540,2023,1,325.45,
traditional,all-transactions,quarterly,MSA,"Bakersfield, CA",12540,2023,2,331.22,
traditional,all-transactions,quarterly,MSA,"Baltimore-Columbia-Towson, MD",12580,2023,1,303.43,
traditional,all-transactions,quarterly,MSA,"Baltimore-Columbia-Towson, MD",12580,2023,2,315.27,
traditional,all-transactions,quarterly,MSA,"Bangor, ME",12620,2023,1,313.44,
traditional,all-transactions,quarterly,MSA,"Bangor, ME",12620,2023,2,330.98,
traditional,all-transactions,quarterly,MSA,"Barnstable Town, MA",12700,2023,1,489.5,
traditional,all-transactions,quarterly,MSA,"Barnstable Town, MA",12700,2023,2,499.53,
traditional,all-transactions,quarterly,MSA,"Baton Rouge, LA",12940,2023,1,277.18,
traditional,all-transactions,quarterly,MSA,"Baton Rouge, LA",12940,2023,2,285.27,
traditional,all-transactions,quarterly,MSA,"Battle Creek, MI",12980,2023,1,268.04,
traditional,all-transactions,quarterly,MSA,"Battle Creek, MI",12980,2023,2,272.67,
traditional,all-transactions,quarterly,MSA,"Bay City, MI",13020,2023,1,235.37,
traditional,all-transactions,quarterly,MSA,"Bay City, MI",13020,2023,2,249.43,
traditional,all-transactions,quarterly,MSA,"Beaumont-Port Arthur, TX",13140,2023,1,277.94,
traditional,all-transactions,quarterly,MSA,"Beaumont-Port Arthur, TX",13140,2023,2,281.59,
traditional,all-transactions,quarterly,MSA,"Beckley, WV",13220,2023,2,262.05,
traditional,all-transactions,quarterly,MSA,"Bellingham, WA",13380,2023,1,439.63,
traditional,all-transactions,quarterly,MSA,"Bellingham, WA",13380,2023,2,448.28,
traditional,all-transactions,quarterly,MSA,"Bend, OR",13460,2023,1,529.86,
traditional,all-transactions,quarterly,MSA,"Bend, OR",13460,2023,2,548.97,
traditional,all-transactions,quarterly,MSA,"Billings, MT",13740,2023,1,368.4,
traditional,all-transactions,quarterly,MSA,"Billings, MT",13740,2023,2,396.61,
traditional,all-transactions,quarterly,MSA,"Binghamton, NY",13780,2023,1,236.7,
traditional,all-transactions,quarterly,MSA,"Binghamton, NY",13780,2023,2,253.53,
traditional,all-transactions,quarterly,MSA,"Birmingham-Hoover, AL",13820,2023,1,282.4,
traditional,all-transactions,quarterly,MSA,"Birmingham-Hoover, AL",13820,2023,2,289.23,
